#
# File was created for de_alexandra
#
# <Wall Index> <Position X Y Z> <Mins X Y Z> <Maxs X Y Z>
#

1 954.9 -129.5 36.0 -127 -49 -92 127 49 92
2 984.9 -211.6 61.7 -87 -35 -67 87 35 67
3 -563.7 -763.4 108.0 -192 -172 -32 192 172 32
4 -454.2 -1051.5 154.0 -230 -101 -22 230 101 22
5 -725.2 -1041.5 64.0 -37 -110 -92 37 110 92
6 -463.5 -1323.9 54.2 -157 -32 -107 157 32 107
7 -623.2 -1218.0 77.5 -32 -82 -102 32 82 102
8 -255.6 -1493.5 161.5 -642 -185 -34 642 185 34
9 -1441.3 -869.0 68.0 -192 -234 -32 192 234 32
10 -3.9 -438.6 164.0 -412 -587 -32 412 587 32
11 -172.6 -827.9 6.3 -62 -52 -77 62 52 77
12 -1759.0 -9.8 17.5 -30 -560 -45 30 560 45
13 -463.7 1359.5 113.5 -842 -76 -45 842 76 45
14 2073.0 474.1 275.0 -23 -996 -143 23 996 143
15 1538.0 1322.5 269.0 -512 -39 -137 512 39 137
16 -263.7 -1346.3 80.0 -40 -32 -77 40 32 77
17 -889.9 -1239.5 28.5 -291 -104 -24 291 104 24
18 790.2 -642.0 135.0 -882 -272 -3 882 272 3
19 -153.1 -667.0 28.2 -24 -49 -47 24 49 47
20 72.5 -496.7 20.7 -32 -32 -92 32 32 92
21 809.9 -628.2 145.5 -1232 -882 -13 1232 882 13
22 1351.5 -1098.0 140.0 -782 -682 -8 782 682 8
